"Variable","h=4","h=8","h=12","h=16","h=20"
"GDP - High Connectedness",1.608511,4.999832,10.840201,17.845008,23.306396
"GDP - Low Connectedness",-0.122544,0.994583,2.385878,4.292624,7.572548
"GDP - P-Value",0.1736,0.2293,0.1068,0.0675,0.0934
"CPI - High Connectedness",0.502947,1.06009,5.519937,11.531259,17.28639
"CPI - Low Connectedness",0.382915,1.591039,2.249051,3.375714,5.133532
"CPI - P-Value",0.8581,0.7161,0.1798,0.0122,0.0047
"FFR - High Connectedness",-5.656663,-6.575796,-6.490588,-4.637281,-1.840796
"FFR - Low Connectedness",-3.173834,-4.213663,-3.707661,-2.854103,-1.408717
"FFR - P-Value",0.0328,0.335,0.2983,0.4197,0.8493
