point_linear,point_high,point_low,linear1,linear2,linear3,H1,H2,H3,L1,L2,L3
-7.35E-11,-2.57E-10,-2.47E-10,-1.94E-10,-7.35E-11, 4.69E-11,-5.24E-10,-2.57E-10, 1.03E-11,-6.54E-10,-2.47E-10, 1.60E-10
 0.043299,-0.022424, 0.026035,-0.046046, 0.043299, 0.132644,-0.140411,-0.022424, 0.095563,-0.147743, 0.026035, 0.199812
 0.025159, 0.075650, 0.017048,-0.052029, 0.025159, 0.102347,-0.071487, 0.075650, 0.222786,-0.121427, 0.017048, 0.155524
 0.040932, 0.090535, 0.118770,-0.079677, 0.040932, 0.161541,-0.072965, 0.090535, 0.254034,-0.082284, 0.118770, 0.319825
 0.081621, 0.193095, 0.077865,-0.071053, 0.081621, 0.234295,-0.008617, 0.193095, 0.394806,-0.141737, 0.077865, 0.297466
-0.005712, 0.214765, 0.190490,-0.171869,-0.005712, 0.160445, 0.007486, 0.214765, 0.422044, 0.015515, 0.190490, 0.365466
-0.076306,-0.084869, 0.158894,-0.264258,-0.076306, 0.111646,-0.347359,-0.084869, 0.177620,-0.102245, 0.158894, 0.420034
 0.181410,-0.052950, 0.397666,-0.003783, 0.181410, 0.366603,-0.311885,-0.052950, 0.205985, 0.120539, 0.397666, 0.674792
 0.173615, 0.118886, 0.237954,-0.006515, 0.173615, 0.353745,-0.123552, 0.118886, 0.361325, 0.029488, 0.237954, 0.446420
 0.243664, 0.426361, 0.091629, 0.068908, 0.243664, 0.418420, 0.195919, 0.426361, 0.656804,-0.173589, 0.091629, 0.356847
 0.458978, 0.930771, 0.128219, 0.287496, 0.458978, 0.630460, 0.698698, 0.930771, 1.162843,-0.125003, 0.128219, 0.381442
 0.531196, 1.200365, 0.077036, 0.344178, 0.531196, 0.718213, 0.897443, 1.200365, 1.503287,-0.178804, 0.077036, 0.332877
 0.465673, 1.277374,-0.076182, 0.261081, 0.465673, 0.670265, 0.994300, 1.277374, 1.560449,-0.332488,-0.076182, 0.180124
 0.540800, 1.193591, 0.048670, 0.348069, 0.540800, 0.733531, 0.868030, 1.193591, 1.519153,-0.236973, 0.048670, 0.334313
 0.567236, 1.182810, 0.056905, 0.351980, 0.567236, 0.782492, 0.819918, 1.182810, 1.545702,-0.235181, 0.056905, 0.348992
 0.686455, 1.308299, 0.177307, 0.461974, 0.686455, 0.910937, 0.957539, 1.308299, 1.659060,-0.101443, 0.177307, 0.456058
 0.722279, 1.333164, 0.107157, 0.460394, 0.722279, 0.984163, 0.977267, 1.333164, 1.689061,-0.276278, 0.107157, 0.490592
 0.672001, 1.479884, 0.106794, 0.361573, 0.672001, 0.982429, 1.051821, 1.479884, 1.907946,-0.273865, 0.106794, 0.487452
 0.596493, 1.324183, 0.153046, 0.289156, 0.596493, 0.903831, 0.853248, 1.324183, 1.795119,-0.283300, 0.153046, 0.589392
 0.604648, 0.985792, 0.341750, 0.296818, 0.604648, 0.912478, 0.542841, 0.985792, 1.428743,-0.105763, 0.341750, 0.789262
 0.455662, 0.673152, 0.235740, 0.148294, 0.455662, 0.763031, 0.214427, 0.673152, 1.131877,-0.171757, 0.235740, 0.643237
