point_linear,point_high,point_low,linear1,linear2,linear3,H1,H2,H3,L1,L2,L3
-4.57E-10,-2.27E-10, 5.43E-10,-7.54E-10,-4.57E-10,-1.60E-10,-4.86E-10,-2.27E-10, 3.12E-11,-9.53E-11, 5.43E-10, 1.18E-09
-0.158469, 0.030709,-0.193949,-0.262321,-0.158469,-0.054617,-0.093698, 0.030709, 0.155117,-0.406151,-0.193949, 0.018254
 0.035568, 0.215070, 0.023812,-0.094345, 0.035568, 0.165482, 0.044396, 0.215070, 0.385743,-0.185939, 0.023812, 0.233562
 0.196666, 0.506158, 0.024341,-0.003799, 0.196666, 0.397131, 0.273052, 0.506158, 0.739264,-0.294166, 0.024341, 0.342848
 0.070742, 0.586325,-0.111182,-0.178269, 0.070742, 0.319754, 0.290511, 0.586325, 0.882139,-0.443710,-0.111182, 0.221346
 0.097204, 0.557109, 0.099043,-0.180846, 0.097204, 0.375253, 0.199058, 0.557109, 0.915161,-0.242862, 0.099043, 0.440948
 0.146818, 0.638309, 0.113477,-0.147306, 0.146818, 0.440942, 0.219216, 0.638309, 1.057401,-0.186264, 0.113477, 0.413218
 0.265350, 0.598255, 0.225281,-0.015330, 0.265350, 0.546031, 0.259560, 0.598255, 0.936950,-0.088811, 0.225281, 0.539373
 0.309462, 0.719857, 0.135743, 0.053977, 0.309462, 0.564947, 0.454661, 0.719857, 0.985053,-0.158621, 0.135743, 0.430106
 0.319573, 0.680700, 0.105825, 0.084292, 0.319573, 0.554854, 0.399376, 0.680700, 0.962024,-0.198353, 0.105825, 0.410004
 0.463677, 0.980660, 0.198851, 0.224275, 0.463677, 0.703080, 0.653679, 0.980660, 1.307641,-0.125427, 0.198851, 0.523129
 0.445127, 1.260824,-0.023371, 0.183576, 0.445127, 0.706679, 0.871229, 1.260824, 1.650418,-0.361620,-0.023371, 0.314877
 0.500472, 1.330721,-0.011073, 0.209395, 0.500472, 0.791549, 0.925864, 1.330721, 1.735579,-0.445596,-0.011073, 0.423450
 0.456217, 1.354094,-0.219249, 0.155851, 0.456217, 0.756583, 0.974009, 1.354094, 1.734180,-0.675200,-0.219249, 0.236701
 0.501355, 1.211702, 0.060045, 0.192698, 0.501355, 0.810012, 0.819001, 1.211702, 1.604402,-0.446342, 0.060045, 0.566432
 0.527216, 1.143773, 0.131408, 0.215916, 0.527216, 0.838516, 0.761445, 1.143773, 1.526102,-0.336560, 0.131408, 0.599375
 0.559221, 1.008837, 0.190729, 0.233474, 0.559221, 0.884968, 0.597059, 1.008837, 1.420614,-0.318627, 0.190729, 0.700086
 0.578559, 1.017036, 0.281716, 0.239999, 0.578559, 0.917119, 0.622885, 1.017036, 1.411187,-0.214229, 0.281716, 0.777660
 0.488642, 0.808914, 0.160064, 0.159616, 0.488642, 0.817668, 0.361119, 0.808914, 1.256709,-0.343661, 0.160064, 0.663789
 0.437524, 0.523609, 0.367045, 0.091551, 0.437524, 0.783496, 0.033212, 0.523609, 1.014006,-0.126919, 0.367045, 0.861010
 0.314809, 0.327696, 0.302373,-0.027921, 0.314809, 0.657540,-0.214773, 0.327696, 0.870164,-0.117639, 0.302373, 0.722384
