,Last updated: 02/11/25 - 17:59
,Modified: 1976M01 2021M12 =>
,Conditional Variance from equation GARCH_VOL
,
1998M11,27.93569
1998M12,34.22793
1999M01,31.46044
1999M02,30.09956
1999M03,30.23866
1999M04,28.44356
1999M05,26.54905
1999M06,25.13119
1999M07,23.64628
1999M08,22.37960
1999M09,22.50912
1999M10,22.82736
1999M11,21.84952
1999M12,21.64843
2000M01,20.73253
2000M02,20.73985
2000M03,20.77521
2000M04,19.90346
2000M05,19.16132
2000M06,18.95287
2000M07,18.64606
2000M08,18.56524
2000M09,20.41518
2000M10,19.98120
2000M11,19.38145
2000M12,20.93793
2001M01,20.11236
2001M02,19.40294
2001M03,19.88435
2001M04,25.75385
2001M05,25.19709
2001M06,26.34934
2001M07,25.81366
2001M08,25.24551
2001M09,25.02290
2001M10,30.98731
2001M11,29.05477
2001M12,27.32662
2002M01,25.53412
2002M02,24.29547
2002M03,23.49372
2002M04,30.66252
2002M05,29.09864
2002M06,32.15743
2002M07,31.13486
2002M08,35.22922
2002M09,32.33930
2002M10,30.59717
2002M11,29.99426
2002M12,27.82439
2003M01,26.83488
2003M02,25.34930
2003M03,26.33472
2003M04,28.60077
2003M05,28.36850
2003M06,28.72515
2003M07,33.48887
2003M08,37.80484
2003M09,34.55777
2003M10,35.05902
2003M11,34.38884
2003M12,32.01318
2004M01,31.62213
2004M02,31.85893
2004M03,35.25323
2004M04,32.38408
2004M05,30.50491
2004M06,32.31102
2004M07,30.16093
2004M08,27.99328
2004M09,26.19783
2004M10,24.58640
2004M11,23.28003
2004M12,22.88950
2005M01,21.76008
2005M02,22.86723
2005M03,21.79332
2005M04,20.99828
2005M05,20.64582
2005M06,20.77279
2005M07,19.91234
2005M08,20.11142
2005M09,20.07369
2005M10,19.37940
2005M11,19.37281
2005M12,18.87328
2006M01,18.27026
2006M02,18.78386
2006M03,18.36099
2006M04,17.98046
2006M05,19.24953
2006M06,18.60475
2006M07,20.27780
2006M08,19.47826
2006M09,18.87005
2006M10,18.26670
2006M11,20.30297
2006M12,19.49820
2007M01,18.82880
2007M02,18.38999
2007M03,18.17467
2007M04,18.48930
2007M05,18.48164
2007M06,18.65600
2007M07,20.37558
2007M08,19.56858
2007M09,22.10648
2007M10,21.56141
2007M11,20.71031
2007M12,22.37024
2008M01,21.42101
2008M02,23.87731
2008M03,23.78070
2008M04,22.57189
2008M05,21.49145
2008M06,20.56696
2008M07,22.20571
2008M08,25.98505
2008M09,25.10750
2008M10,30.67320
2008M11,94.20297
2008M12,89.38764
2009M01,80.61122
2009M02,71.52407
2009M03,70.84635
2009M04,67.04097
2009M05,60.24271
2009M06,54.06375
2009M07,49.47928
2009M08,45.58562
2009M09,44.59608
2009M10,44.00952
2009M11,86.68883
2009M12,86.57950
2010M01,76.85416
2010M02,68.77582
2010M03,62.99486
2010M04,68.92116
2010M05,63.73033
2010M06,72.00016
2010M07,65.84517
2010M08,58.62971
2010M09,55.47082
2010M10,49.74298
2010M11,45.12555
2010M12,40.82708
2011M01,37.37108
2011M02,34.47876
2011M03,35.87667
2011M04,35.19844
2011M05,32.32640
2011M06,34.02355
2011M07,31.30036
2011M08,29.39829
2011M09,38.91377
2011M10,38.30885
2011M11,35.57394
2011M12,32.72475
2012M01,30.64394
2012M02,28.38288
2012M03,26.45120
2012M04,24.95674
2012M05,24.78179
2012M06,24.63821
2012M07,23.25584
2012M08,22.04067
2012M09,34.90217
2012M10,34.93840
2012M11,32.17632
2012M12,30.11290
2013M01,28.23362
2013M02,26.33827
2013M03,25.05433
2013M04,23.60932
2013M05,22.69896
2013M06,26.37848
2013M07,24.72571
2013M08,23.32784
2013M09,22.28131
2013M10,21.28192
2013M11,20.79283
2013M12,21.80761
2014M01,20.93026
2014M02,20.50041
2014M03,19.87047
2014M04,19.21224
2014M05,18.61422
2014M06,18.30028
2014M07,19.66963
2014M08,19.05146
2014M09,18.52734
2014M10,17.97221
2014M11,20.03860
2014M12,19.42521
2015M01,18.84816
2015M02,18.58066
2015M03,18.69159
2015M04,18.60166
2015M05,18.05297
2015M06,17.60979
2015M07,18.10957
2015M08,18.04092
2015M09,17.88960
2015M10,20.83220
2015M11,23.18987
2015M12,22.90696
2016M01,22.01587
2016M02,23.73353
2016M03,24.08754
2016M04,24.87172
2016M05,23.42691
2016M06,22.31798
2016M07,21.29426
2016M08,21.01739
2016M09,20.96629
2016M10,21.47863
2016M11,22.05494
2016M12,21.01612
2017M01,22.39983
2017M02,25.76181
2017M03,25.05642
2017M04,25.21012
2017M05,24.23660
2017M06,22.98905
2017M07,21.87606
2017M08,20.91630
2017M09,20.08851
2017M10,19.81109
2017M11,20.13956
2017M12,19.35756
2018M01,18.72006
2018M02,19.02546
2018M03,20.12409
2018M04,19.52610
2018M05,18.83077
2018M06,18.23346
2018M07,17.78759
2018M08,17.34190
2018M09,17.15361
2018M10,16.82856
2018M11,19.24428
2018M12,18.91984
2019M01,23.93163
2019M02,23.26497
2019M03,26.41628
2019M04,24.90867
2019M05,23.86586
2019M06,23.16027
2019M07,21.97894
2019M08,21.10122
2019M09,22.55310
2019M10,21.58313
2019M11,21.31325
2019M12,22.11293
2020M01,25.65777
2020M02,24.10517
2020M03,25.48736
2020M04,67.77262
2020M05,60.69202
2020M06,55.35513
2020M07,50.91505
2020M08,46.01613
2020M09,45.99317
2020M10,42.61096
2020M11,38.76490
2020M12,35.47987
2021M01,32.94452
2021M02,30.44669
2021M03,29.38349
2021M04,75.94093
2021M05,68.53164
2021M06,60.95175
2021M07,55.34772
2021M08,49.61033
2021M09,44.94417
2021M10,40.74729
2021M11,37.12476
2021M12,34.27884
