"","V1"
"1",89.3815638129001
"2",88.8941402935909
"3",88.8615916179103
"4",87.8888136563888
"5",88.2417444976438
"6",89.037944714604
"7",89.2485979596688
"8",89.4097794073039
"9",89.4459861105177
"10",89.565195816306
"11",89.7072668610761
"12",89.0859180954523
"13",88.7690241106189
"14",88.4774508374434
"15",88.506444181536
"16",89.1220521211351
"17",89.7819035490902
"18",90.2009493263846
"19",90.3272456280349
"20",90.438440645167
"21",90.09611433727
"22",90.19625014089
"23",90.1549766725582
"24",90.1329765766117
"25",90.4997933506432
"26",90.6929767607048
"27",90.506875251833
"28",90.1530590299218
"29",89.8973008685068
"30",90.0820664672369
"31",89.9872211727203
"32",90.0147839857648
"33",89.8562198762671
"34",89.7117857106143
"35",89.8937668428054
"36",89.8691318046265
"37",89.8949386832042
"38",90.1517585713223
"39",90.4867423615579
"40",90.2776029513727
"41",89.9295018090528
"42",89.9181685247343
"43",89.6729292960259
"44",89.4780881548472
"45",89.5891360565576
"46",89.9091393563101
"47",89.686528258838
"48",89.4846470354334
"49",89.7980457123739
"50",89.7544346901659
"51",89.8765734457285
"52",90.2305264650023
"53",90.0912733694122
"54",89.8554201172128
"55",89.9593545353921
"56",90.1939139231082
"57",89.9772906959805
"58",89.8835961306693
"59",89.8981632015854
"60",89.9739491663995
"61",89.8505117980151
"62",89.6732520206199
"63",89.5303082691858
"64",89.0967061778161
"65",88.8887584176171
"66",89.1526379366274
"67",89.0980818302932
"68",88.7291204613162
"69",88.3387546388986
"70",88.6697816349265
"71",88.5194771326802
"72",88.9631682694231
"73",88.9981194589663
"74",88.6219539321602
"75",88.4818797987094
"76",88.2640340878254
"77",88.3933122846148
"78",88.5745029723317
"79",89.110318707353
"80",89.2856474545945
"81",89.5534829745339
"82",89.6416451306922
"83",89.9329312044088
"84",89.5311733262454
"85",89.9361429085698
"86",89.7872260364773
"87",89.8360168707376
"88",89.5754257433257
"89",89.2434521512182
"90",89.2503869482208
"91",89.165161947973
"92",89.4859335901526
"93",90.3251665013606
"94",90.5174912626435
"95",90.799369385319
"96",89.777182675155
"97",89.0298399077797
"98",89.0116515997874
"99",89.7185750841334
"100",89.6535347181416
"101",89.388978786885
"102",89.0219871800993
"103",89.1772777829464
"104",88.7821720040746
"105",88.3437679325909
"106",88.575651585874
"107",89.0433987248257
"108",89.2727228686184
"109",89.3093504871885
"110",89.6597227517635
"111",88.9853967454842
"112",89.0363270442474
"113",89.1065009362267
"114",89.8204234257644
"115",89.9771654658676
"116",90.1482575327829
"117",89.4239330092093
"118",89.0976494496567
"119",89.442686217725
"120",88.9492999972242
"121",88.7329381924601
"122",89.0193471454482
"123",88.8292903238365
"124",89.1672216679102
"125",88.9111307816445
"126",88.6109226016
"127",89.0756403057206
"128",89.2876359002514
"129",88.8457894780855
"130",88.6553917432786
"131",89.5117048946886
"132",89.8907682405405
"133",89.7537147137798
"134",89.3692014796024
"135",89.124885306404
"136",89.0628133911589
"137",88.8963053032522
"138",88.5477562064506
"139",88.6550434139654
"140",88.9946117164
"141",89.1426829700114
"142",89.1804999917039
"143",88.5709406035841
"144",89.0381414475481
"145",88.7860128502633
"146",88.4187789135634
"147",88.7190588976263
"148",88.6186890264658
"149",88.5331636188645
"150",88.7987353495405
"151",88.7092743804787
"152",89.124874061679
"153",89.3746509066016
"154",89.4363446974375
"155",89.8970752148882
"156",89.7320670040408
"157",89.9855592044942
"158",89.4030684497137
"159",90.5163120271688
"160",90.248338410455
"161",89.982328425631
"162",90.6407847953003
"163",90.5021995730094
"164",90.1333549914836
"165",89.9694687990885
"166",89.9358098422181
"167",90.6486248133493
"168",90.6574055982782
"169",90.5955378114088
"170",90.8310038083029
"171",91.4591551105326
"172",91.6510704802433
"173",91.7740643288777
"174",91.9010506934826
"175",91.9192398185906
"176",92.0176366734585
"177",91.8643060324587
"178",91.7958164887086
"179",91.726864006009
