"Date","SHADOW_RATE"
1975,6.30333333333333
1975.25,5.42
1975.5,6.16
1975.75,5.41333333333333
1976,4.82666666666667
1976.25,5.19666666666667
1976.5,5.28333333333333
1976.75,4.87333333333333
1977,4.66
1977.25,5.15666666666667
1977.5,5.82
1977.75,6.51333333333333
1978,6.75666666666667
1978.25,7.28333333333333
1978.5,8.1
1978.75,9.58333333333333
1979,10.0733333333333
1979.25,10.18
1979.5,10.9466666666667
1979.75,13.5766666666667
1980,15.0466666666667
1980.25,12.6866666666667
1980.5,9.83666666666667
1980.75,15.8533333333333
1981,16.57
1981.25,17.78
1981.5,17.5766666666667
1981.75,13.5866666666667
1982,14.2266666666667
1982.25,14.5133333333333
1982.5,11.0066666666667
1982.75,9.28666666666667
1983,8.65333333333333
1983.25,8.80333333333333
1983.5,9.46
1983.75,9.43
1984,9.68666666666667
1984.25,10.5566666666667
1984.5,11.39
1984.75,9.26666666666667
1985,8.47666666666667
1985.25,7.92333333333333
1985.5,7.9
1985.75,8.10333333333333
1986,7.82666666666667
1986.25,6.92
1986.5,6.20666666666667
1986.75,6.26666666666667
1987,6.22
1987.25,6.64666666666667
1987.5,6.84333333333333
1987.75,6.91666666666667
1988,6.66333333333333
1988.25,7.15666666666667
1988.5,7.98333333333333
1988.75,8.47
1989,9.44333333333333
1989.25,9.72666666666667
1989.5,9.08333333333333
1989.75,8.61333333333333
1990,8.25
1990.25,8.24333333333333
1990.5,8.16
1990.75,7.74333333333333
1991,6.42666666666667
1991.25,5.86333333333333
1991.5,5.64333333333333
1991.75,4.81666666666667
1992,4.02333333333333
1992.25,3.77
1992.5,3.25666666666667
1992.75,3.03666666666667
1993,3.04
1993.25,3
1993.5,3.06
1993.75,2.99
1994,3.21
1994.25,3.94
1994.5,4.48666666666667
1994.75,5.16666666666667
1995,5.81
1995.25,6.02
1995.5,5.79666666666667
1995.75,5.72
1996,5.36333333333333
1996.25,5.24333333333333
1996.5,5.30666666666667
1996.75,5.28
1997,5.27666666666667
1997.25,5.52333333333333
1997.5,5.53333333333333
1997.75,5.50666666666667
1998,5.52
1998.25,5.5
1998.5,5.53333333333333
1998.75,4.86
1999,4.73333333333333
1999.25,4.74666666666667
1999.5,5.09333333333333
1999.75,5.30666666666667
2000,5.67666666666667
2000.25,6.27333333333333
2000.5,6.52
2000.75,6.47333333333333
2001,5.59333333333333
2001.25,4.32666666666667
2001.5,3.49666666666667
2001.75,2.13333333333333
2002,1.73333333333333
2002.25,1.75
2002.5,1.74
2002.75,1.44333333333333
2003,1.25
2003.25,1.24666666666667
2003.5,1.01666666666667
2003.75,0.996666666666667
2004,1.00333333333333
2004.25,1.01
2004.5,1.43
2004.75,1.95
2005,2.47
2005.25,2.94333333333333
2005.5,3.46
2005.75,3.98
2006,4.45666666666667
2006.25,4.90666666666667
2006.5,5.24666666666667
2006.75,5.24666666666667
2007,5.25666666666667
2007.25,5.25
2007.5,5.07333333333333
2007.75,4.49666666666667
2008,3.17666666666667
2008.25,2.08666666666667
2008.5,1.94
2008.75,0.506666666666667
2009,0.745842271707518
2009.25,0.218267077684522
2009.5,-0.268722126016822
2009.75,-0.413001334799648
2010,-0.489579210988343
2010.25,-0.497138677296819
2010.5,-0.69463932045362
2010.75,-0.945330220708679
2011,-1.03133218567171
2011.25,-1.1095263407985
2011.5,-1.32395255229631
2011.75,-1.46240816857046
2012,-1.41918756994953
2012.25,-1.20343729591901
2012.5,-1.26596915274561
2012.75,-1.39724076218399
2013,-1.40689878468702
2013.25,-1.25407186275012
2013.5,-1.66367455423111
2013.75,-1.99476030330518
2014,-2.51426505862616
2014.25,-2.92200334897957
2014.5,-2.8447993105843
2014.75,-2.66360057283743
2015,-2.01694929086095
2015.25,-1.47687275622318
2015.5,-0.98363850927212
2015.75,-0.0933535940488378
2016,0.478120447773286
2016.25,0.436663713275447
2016.5,0.476818567635866
2016.75,0.458045564018312
2017,0.468747981006681
2017.25,0.977184519428394
2017.5,1.09683513240047
2017.75,1.28286962035949
2018,1.53060836137176
2018.25,1.78810285482035
2018.5,2.03160121819678
2018.75,2.41113328329868
2019,2.45095924456795
2019.25,2.33630612431802
2019.5,2.05028443833501
2019.75,1.63429697319367
2020,1.24459008962051
2020.25,0.460336994573209
2020.5,0.197344619789324
2020.75,-0.114102905836269
