dep,horizon,point_linear,point_high,point_low,se_linear,se_high,se_low
GDP,0,-0.04372795569009517,-0.2462334980275337,0.11078677703909146,0.11445627968457722,0.14694356599069305,0.13824158161948355
GDP,1,0.032474396606763115,-0.032356026387974135,0.09217178120093145,0.14436592872787063,0.1895021812542514,0.17832654762598643
GDP,2,0.1954425686771072,-0.07575974278653799,0.31287464146991006,0.2547698693662346,0.258553818742448,0.31500709758819245
GDP,3,0.45718612274377923,0.08700422998035007,0.5511539191757143,0.31666855235926994,0.27913450273165974,0.37375860541188044
GDP,4,0.41711044965338995,-0.26363556052068976,0.6224832106807896,0.358887982550384,0.317223694555843,0.3959420320671193
GDP,5,0.4293261208666397,-0.0994178597093605,0.597882949689547,0.3580127530690178,0.36326237162642805,0.3420752061136564
GDP,6,0.3678285139626974,-0.2125614479510824,0.6163266496191911,0.3744875555990171,0.35380372037604274,0.3710780465620753
GDP,7,0.3396384287253905,-0.02545757080460004,0.5301705691052793,0.31918338012082964,0.28728134279338224,0.34150379519700297
GDP,8,0.37784480251566827,0.13506735647001838,0.6045173408188141,0.2654565222603645,0.298966184421248,0.35999195782451154
GDP,9,0.26634745895779377,-0.021803387342534043,0.4694980225917936,0.2670229427098977,0.2654696184170115,0.4375455958850221
GDP,10,0.4010426080774378,0.27266784614316575,0.5768379532205181,0.26287443938008115,0.32468834174037164,0.4108040388988092
GDP,11,0.31482794343405257,0.016509243803570703,0.45220808485889463,0.29598200486821175,0.2916237911664096,0.4194904966819494
GDP,12,0.3471202068977717,-0.09906576029145482,0.4195620320003144,0.3461428372679923,0.3153845993892433,0.36393125964676726
GDP,13,0.22238987503384955,-0.329348312780271,0.4057400116141079,0.3352981514398096,0.37540917659416373,0.36950066772916124
GDP,14,0.1417564016794356,-0.35393722935832156,0.4022000682793679,0.3729312411680543,0.45497770964073164,0.33833995224119706
GDP,15,0.08547205990678562,-0.4612370366846705,0.48580083958867165,0.3571305631247137,0.4300999508021103,0.3648273997810963
GDP,16,0.016983704625770576,-0.25240657275891837,0.29744796587198546,0.428492325645906,0.5097852045725146,0.38856475273266233
GDP,17,0.07879211646967468,0.014690808398722437,0.16621985418373642,0.38281309013733944,0.48687863672623294,0.3323323036969308
GDP,18,-0.016576114391135786,-0.053509369166111855,0.08497928120197609,0.33788096069692125,0.44779519896827863,0.28038308651012517
GDP,19,0.017816916463700847,0.3873213126632404,0.002303016665085049,0.286624227903518,0.38801630943268983,0.21037882231989016
GDP,20,-0.08926365058267158,0.16816189772924867,-0.03171133879926722,0.27330652138480555,0.4710979162867097,0.2660063919186286
CPI (PCE),0,0.005255474261622567,-0.24248496975393766,0.01563723918390076,0.07870282034177467,0.1406159635509865,0.1493914948635389
CPI (PCE),1,0.13759643088339452,0.05728389510056022,0.003380105496757561,0.14665475223491292,0.22359920193611008,0.2326454999139505
CPI (PCE),2,0.13516169670097838,-0.08288625373125791,0.06994373340497581,0.13783854322654426,0.25707419047131375,0.24667756869766613
CPI (PCE),3,0.21615591411543494,-0.0608599713192294,0.05515886023860623,0.1927951058973645,0.2855545216575325,0.35068269036606653
CPI (PCE),4,0.15987064892336694,-0.09204954736348493,0.036211483362626334,0.21303240132508836,0.2995025981512252,0.25789001741348333
CPI (PCE),5,0.14520725108471302,0.054660899980078045,-0.006486124957166266,0.1902618054948228,0.2934961070270775,0.2251202571482327
CPI (PCE),6,-0.05711431558861083,-0.0054072381758437935,-0.14409264632717583,0.2211878689146815,0.2948162691016873,0.2298862078034275
CPI (PCE),7,0.04358466422966556,-0.11559902648586239,0.18633817522995896,0.1820352022035822,0.33181405893974736,0.20696331129432444
CPI (PCE),8,0.05147646936215955,0.021051965462440005,6.363172199034596e-4,0.18040851368071492,0.27277906694729903,0.19046346513608137
CPI (PCE),9,0.1330599457956169,0.13249363358446598,-0.06564357016021723,0.18026174662254457,0.27278421555411636,0.16998134814853175
CPI (PCE),10,0.38372346204014807,0.5565469227697571,0.13584312419070374,0.18087928555841754,0.2857258986266849,0.21432963255364348
CPI (PCE),11,0.4050881777097316,0.5420748518582563,0.041019051117540097,0.15674894717142968,0.16845321282971773,0.26355392883440304
