"quarter","year","qtr","C","trend_raw","cycle_raw","log_C","trend","cycle","D_H","D_L"
"1981Q1",1981,1,88.995,89.6445387196897,-0.64953871968974,448.858018837872,449.58120042071,-0.723181582837942,0,1
"1981Q2",1981,2,88.4913333333333,89.6884257947354,-1.19709246140207,448.290461878167,449.630265703501,-1.33980382533413,0,1
"1981Q3",1981,3,89.5786666666667,89.7319069080813,-0.153240241414592,449.511719639362,449.678878997803,-0.16715935844155,0,1
"1981Q4",1981,4,90.004,89.7738279152391,0.230172084760887,449.985411378708,449.725750937736,0.259660440972183,1,0
"1982Q1",1982,1,89.2813333333333,89.8129388965699,-0.531605563236588,449.179243281061,449.769487682821,-0.590244401759314,0,1
"1982Q2",1982,2,90.1713333333333,89.8481337899876,0.323199543345752,450.171156428652,449.808857680353,0.362298748299454,1,0
"1982Q3",1982,3,90.904,89.877974279929,1.02602572007101,450.980400461571,449.842260474879,1.13813998669207,1,0
"1982Q4",1982,4,90.847,89.9012240505456,0.94577594945439,450.917677283301,449.868322047661,1.04935523564005,1,0
"1983Q1",1983,1,90.9593333333333,89.917288052064,1.04204528126937,451.041252018646,449.886379717454,1.15487230119167,1,0
"1983Q2",1983,2,89.962,89.926162344679,0.0358376553210013,449.938735894714,449.896426650035,0.0423092446789272,1,0
"1983Q3",1983,3,90.051,89.9284942668864,0.12250573311357,450.0376176502,449.89917780637,0.138439843830339,1,0
"1983Q4",1983,4,89.768,89.9249535557166,-0.156953555716553,449.722856436257,449.895374590702,-0.172518154445069,0,1
"1984Q1",1984,1,90.058,89.9162865142829,0.141713485717124,450.045390720956,449.885844932175,0.159545788780806,1,0
"1984Q2",1984,2,89.6483333333333,89.9031413497265,-0.254808016393204,449.589460906219,449.87130893609,-0.281848029870686,0,1
"1984Q3",1984,3,89.4493333333333,89.8862548401173,-0.436921506784001,449.367235697372,449.852586423863,-0.485350726491029,0,1
"1984Q4",1984,4,89.584,89.8662045085147,-0.282204508514722,449.517673260654,449.830321061893,-0.312647801239217,0,1
"1985Q1",1985,1,89.6593333333333,89.8432948020365,-0.183961468703154,449.601730320259,449.804853172374,-0.203122852115109,0,1
"1985Q2",1985,2,90.4293333333333,89.8176537899826,0.611679543350771,450.456869854047,449.776327672624,0.680542181422596,1,0
"1985Q3",1985,3,90.2973333333333,89.7892945657349,0.50803876759839,450.310792879456,449.74476252818,0.566030351276491,1,0
"1985Q4",1985,4,90.375,89.7586125223902,0.616387477609788,450.396768047893,449.710601043441,0.686167004452283,1,0
"1986Q1",1986,1,90.1513333333333,89.7263205772747,0.425012756058598,450.148973970449,449.674640291775,0.474333678674343,1,0
"1986Q2",1986,2,89.2486666666667,89.6935168898883,-0.44485022322167,449.14264812391,449.63810620093,-0.49545807701994,0,1
"1986Q3",1986,3,89.147,89.6615652527034,-0.51456525270341,449.028669259319,449.602521157201,-0.573851897882093,0,1
"1986Q4",1986,4,89.1923333333333,89.6315514268028,-0.439218093469506,449.079508671424,449.569097885586,-0.489589214161767,0,1
"1987Q1",1987,1,88.863,89.6042395699865,-0.741239569986549,448.709585791019,449.538690453647,-0.829104662627989,0,1
"1987Q2",1987,2,88.656,89.580119328746,-0.924119328746054,448.476371212499,449.511846935686,-1.03547572318663,0,1
"1987Q3",1987,3,89.2263333333333,89.5592170748416,-0.33288374150828,449.117621275948,449.488597215592,-0.370975939643805,0,1
"1987Q4",1987,4,89.4403333333333,89.540981605453,-0.100648272119713,449.357173629311,449.468324004926,-0.111150375615546,0,1
"1988Q1",1988,1,89.8413333333333,89.5246536654217,0.316679667911619,449.804515151923,449.450178155288,0.354336996634608,1,0
"1988Q2",1988,2,89.704,89.5094110944189,0.19458890558112,449.651536115858,449.433241049292,0.218295066565825,1,0
"1988Q3",1988,3,90.3376666666667,89.4946296569083,0.843037009758341,450.355450154075,449.416815530176,0.938634623899053,1,0
"1988Q4",1988,4,90.7843333333333,89.4798067354197,1.3045265979136,450.848673033865,449.400340875593,1.44833215827194,1,0
"1989Q1",1989,1,89.6656666666667,89.4649666106139,0.200700056052734,449.608793845518,449.383843009838,0.224950835680127,1,0
"1989Q2",1989,2,89.4533333333333,89.4509488922754,0.00238444105788993,449.371707402658,449.368253064804,0.00345433785408633,1,0
"1989Q3",1989,3,88.864,89.4387186277238,-0.574718627723808,448.710711112439,449.354642766655,-0.643931654215967,0,1
"1989Q4",1989,4,89.2186666666667,89.4292423545542,-0.210575687887587,449.109028525609,449.344086000518,-0.235057474909119,0,1
"1990Q1",1990,1,89.3536666666667,89.4231274112196,-0.0694607445529738,449.260227788338,449.337254194236,-0.077026405897905,0,1
"1990Q2",1990,2,89.338,89.4208495263679,-0.0828495263679438,449.242692928432,449.334671864728,-0.0919789362965509,0,1
"1990Q3",1990,3,89.661,89.4228410156817,0.238158984318255,449.603589191069,449.336815387413,0.266773803655994,1,0
